USDT-BTC,time,USDT-ETH
4234.0,2017-10-04 13:56:00+00:00,293.0
4228.0,2017-10-04 13:57:00+00:00,293.0
4231.0,2017-10-04 13:59:00+00:00,293.01
4231.0,2017-10-04 14:00:00+00:00,293.5
4236.10000001,2017-10-04 14:01:00+00:00,294.34999576
4222.0,2017-10-04 14:04:00+00:00,293.5
4221.39,2017-10-04 14:07:00+00:00,293.5
4220.0,2017-10-04 14:08:00+00:00,293.50000001
4219.0,2017-10-04 14:09:00+00:00,294.34599999
4215.195,2017-10-04 14:10:00+00:00,294.34599999
4215.195,2017-10-04 14:11:00+00:00,294.19
4215.196,2017-10-04 14:12:00+00:00,294.18999971
4209.00000002,2017-10-04 14:14:00+00:00,293.50000001
4209.00000002,2017-10-04 14:15:00+00:00,293.50000001
4209.00000002,2017-10-04 14:16:00+00:00,293.50000001
4209.00000002,2017-10-04 14:17:00+00:00,294.19
4200.00000001,2017-10-04 14:18:00+00:00,293.50000001
4185.0,2017-10-04 14:19:00+00:00,292.5
4184.78999999,2017-10-04 14:20:00+00:00,291.5
4185.0,2017-10-04 14:22:00+00:00,291.96147939
4189.0,2017-10-04 14:26:00+00:00,291.5
4188.03,2017-10-04 14:28:00+00:00,291.42
4188.03,2017-10-04 14:30:00+00:00,291.42
4188.03,2017-10-04 14:32:00+00:00,291.00000001
4190.22,2017-10-04 14:38:00+00:00,291.00000001
4200.0,2017-10-04 14:42:00+00:00,292.99999765
4193.0,2017-10-04 14:43:00+00:00,291.00000073
4215.0,2017-10-04 14:47:00+00:00,292.99999765
4215.00000002,2017-10-04 14:48:00+00:00,292.99999765
4202.0,2017-10-04 14:49:00+00:00,292.9999978
4214.0,2017-10-04 14:52:00+00:00,293.99999995
4213.0,2017-10-04 14:53:00+00:00,292.99999765
4213.0,2017-10-04 14:54:00+00:00,292.99999765
4200.1,2017-10-04 14:56:00+00:00,293.98
4200.0,2017-10-04 14:57:00+00:00,293.79
4212.10000001,2017-10-04 14:58:00+00:00,293.99
4218.0,2017-10-04 14:59:00+00:00,293.8
4200.00000001,2017-10-04 15:01:00+00:00,294.18
4200.00000001,2017-10-04 15:02:00+00:00,293.79
4219.0,2017-10-04 15:03:00+00:00,293.11301499
4218.00000001,2017-10-04 15:06:00+00:00,293.79
4200.00000001,2017-10-04 15:07:00+00:00,293.79
4200.0,2017-10-04 15:09:00+00:00,293.79
4193.0,2017-10-04 15:10:00+00:00,294.0
4200.0,2017-10-04 15:11:00+00:00,293.79
4200.0,2017-10-04 15:12:00+00:00,293.99999939
4198.99999999,2017-10-04 15:13:00+00:00,293.79
4202.99000001,2017-10-04 15:14:00+00:00,293.79
4200.0,2017-10-04 15:15:00+00:00,293.79
4202.99000001,2017-10-04 15:16:00+00:00,293.79
4202.99000001,2017-10-04 15:19:00+00:00,293.7000001
4198.0,2017-10-04 15:22:00+00:00,292.29000001
4190.65248758,2017-10-04 15:25:00+00:00,291.29000071
4190.65248758,2017-10-04 15:26:00+00:00,292.29000001
4191.0,2017-10-04 15:27:00+00:00,292.29000001
4200.0,2017-10-04 15:28:00+00:00,292.29000001
4191.0,2017-10-04 15:31:00+00:00,292.29000001
4190.0,2017-10-04 15:32:00+00:00,292.3
4200.0,2017-10-04 15:35:00+00:00,292.8
4201.0,2017-10-04 15:36:00+00:00,292.8
4202.99000001,2017-10-04 15:37:00+00:00,292.8
4203.1,2017-10-04 15:38:00+00:00,292.8
4199.0,2017-10-04 15:39:00+00:00,292.29000002
4203.1,2017-10-04 15:40:00+00:00,292.29000001
4200.0,2017-10-04 15:41:00+00:00,291.20000002
4200.0,2017-10-04 15:43:00+00:00,291.21
4192.31000003,2017-10-04 15:45:00+00:00,291.20000002
4192.31000002,2017-10-04 15:46:00+00:00,291.2
4200.0,2017-10-04 15:47:00+00:00,292.0
4200.0,2017-10-04 15:49:00+00:00,291.2
4202.10000001,2017-10-04 15:51:00+00:00,293.0
4200.0,2017-10-04 15:54:00+00:00,293.0
4194.9,2017-10-04 15:56:00+00:00,292.89
4210.0,2017-10-04 15:59:00+00:00,291.21
4208.999,2017-10-04 16:00:00+00:00,292.88
4203.25604678,2017-10-04 16:01:00+00:00,292.88
4209.5,2017-10-04 16:02:00+00:00,292.88
4197.0,2017-10-04 16:03:00+00:00,292.88
4197.0,2017-10-04 16:04:00+00:00,292.88
4200.099,2017-10-04 16:05:00+00:00,292.88
4200.89200204,2017-10-04 16:06:00+00:00,292.89
4188.415,2017-10-04 16:12:00+00:00,292.73355999
4188.0,2017-10-04 16:16:00+00:00,292.4321
4189.0,2017-10-04 16:17:00+00:00,292.4321
4188.0,2017-10-04 16:19:00+00:00,292.4321
4180.0,2017-10-04 16:23:00+00:00,291.21
4180.0,2017-10-04 16:26:00+00:00,291.2
4180.0,2017-10-04 16:27:00+00:00,291.00000073
4184.06,2017-10-04 16:28:00+00:00,291.00000001
4186.4,2017-10-04 16:29:00+00:00,290.03494538
4176.0,2017-10-04 16:30:00+00:00,291.00000001
4174.99999999,2017-10-04 16:32:00+00:00,292.43209999
4174.99999999,2017-10-04 16:44:00+00:00,291.541
4171.20000001,2017-10-04 16:47:00+00:00,290.04290041
4178.0,2017-10-04 16:48:00+00:00,292.3999999
4179.10000001,2017-10-04 16:53:00+00:00,292.39998938
4181.00000002,2017-10-04 16:58:00+00:00,292.39
4187.0,2017-10-04 16:59:00+00:00,292.39
